"","STUSPS","BUPR_YEAR","bupr_sum"
"1","AZ",2000,288677
"2","AZ",2005,396293
"3","AZ",2010,466248
"4","AZ",2015,502648
"5","CA",2000,1127306
"6","CA",2005,1275319
"7","CA",2010,1366392
"8","CA",2015,1422948
"9","CO",2000,326285
"10","CO",2005,392460
"11","CO",2010,431836
"12","CO",2015,463770
"13","ID",2000,109727
"14","ID",2005,138857
"15","ID",2010,159418
"16","ID",2015,169967
"17","MT",2000,224418
"18","MT",2005,259229
"19","MT",2010,286793
"20","MT",2015,305791
"21","NM",2000,85058
"22","NM",2005,102096
"23","NM",2010,117320
"24","NM",2015,122976
"25","NV",2000,55524
"26","NV",2005,80754
"27","NV",2010,109630
"28","NV",2015,123078
"29","OR",2000,259127
"30","OR",2005,292041
"31","OR",2010,313592
"32","OR",2015,323953
"33","UT",2000,89339
"34","UT",2005,113496
"35","UT",2010,137014
"36","UT",2015,153818
"37","WA",2000,455470
"38","WA",2005,520680
"39","WA",2010,574983
"40","WA",2015,601271
"41","WY",2000,49192
"42","WY",2005,56654
"43","WY",2010,65176
"44","WY",2015,69554
