GACCName,total_fires,burned_acres,mean_size,mean_speed,costs,tot_personnel,str_threatened,str_destroyed
Alaska Interagency Coordination Center,1342,22928955.01,17085.659470938896,4055.757852228566,986438648.22,569150.2384199135,35257,645
Eastern Area Coordination Center,2809,1346420.01,479.32360626557494,276.1123045869761,118161871.78,153041.34166666667,16824,1850
Great Basin Coordination Center,3957,25397447.61,6418.35926459439,3302.158461048216,3120718114.14,2613937.884081144,155206.5,2802
Northern California Geographic Area Coordination Center,1184,11173964.47,9437.469991554053,3492.3917249290403,8414979218.58,6893345.401977194,557856,48596
Northern Rockies Coordination Center,2361,9428221.48,3993.317018212622,1634.3888833694616,2557877794.31,2110144.0831968947,67638.66666666667,2058
Northwest Interagency Coordination Center,1958,16035146.08,8189.553667007151,3566.497220531826,6018233404.41,4190468.669292641,458862,7485
Rocky Mountain Area Coordination Center,1939,6975425.555,3597.4345306859204,1954.0167486334026,1903336134.47,1135050.0146197714,207898,5582
Southern Area Coordination Center,13423,11667096.41,869.186948521195,538.5591424743927,793172865.92,980387.1256648413,193673.5,16741.333333333332
Southern California Geographic Area Coordination Center,2116,8114045.16,3834.6149149338376,1448.220601810158,6048717809.46,6338065.354546717,919492,19021
Southwest Coordination Center,3130,18849678.95,6022.261645367412,2870.8996607461036,2188210342.03,1981622.1689972265,158843,3805
