INCIDENT_ID,FINAL_ACRES,STR_DESTROYED_TOTAL
2008_CA-ORC-075249_LANDFILL FIRE,0,1
2002_ID-SID-G447_UP RR MM 259,0,0
2017_7132450_ROCKY POINT,0,0
2017_7150858_LOUIE,0,0
2017_7164637_MOOSE CREEK 2,0,0
2017_7165103_ELBOW BEND,0,0
2017_7169364_WARM RIVER,0,0
2017_7187177_TWIN,0,0
2017_7203963_FRY PAN 2,0,0
2017_7265652_ALPINE,0,0
2017_7300408_WOOLARD,0,0
2017_7301461_BIG BEAR,0,0
2017_7311430_DITCH #2,0,0
2017_7336175_HORSE CREEK,0,0
2017_7354388_ROOSTER CREEK,0,0
2017_7361601_HORSE TRAIL,0,0
2017_7370238_BRUSH CREEK,0,0
2017_7396195_MAGPIE,0,0
2017_7407447_SADDLE,0,0
2018_9137996_MAGRUDER RIDGE,0,0
2018_9148689_MAYFIELD,0,0
2018_9181002_WEST LAZY,0,0
2018_9188968_GOAT MOUNTAIN,0,0
2020_11954686_NORTH CASCADE FIRES,0,0
2017_7285105_KIZER 35,0,0
2017_7318097_HALONA,0,0
2001_CA-LMU-02154_LIGHTNING PLAN,0,0
2005_CA-MEU-004960_HILL,0,0
2006_CA-FKU-003962_HWY 33,0,0
2006_CA-TGU-001111_TEST,0,0
2007_CA-CDF-12345_PRETEND,0,0
2007_CA-RRU-39416_MARCH JPA VMP,0,0
2009_CA-VNC-0999999_TEST INCIDENT,0,0
2010_CA-MCP-002729_MOUT,0,0
2011_CA-KRN-1127912_KEENE,0,0
2014_2850843_BRIDGE #3,0,0
2014_966939_BRIDGE #3,0,0
2015_2897099_MEADOW,0,0
2017_7168905_WRIGHT,0,0
2017_7202842_GOOSE,0,0
2017_7202851_RANCH,0,0
2017_7203407_PIT,0,0
2017_7203435_BOLES,0,0
2017_7203952_KERN,0,0
2017_7238290_HUFFMAN,0,0
2017_7238377_TANK,0,0
2017_7339454_LA TUNA,0,0
2017_7393842_LAVERNE,0,0
2020_11979047_CROSLEY,0,0
2017_7161896_141 OR-MAF-17141,0,0
2018_9056853_MEMALOOSE #2,0,0
2018_9170648_CELILO LAND,0,0
2016_4436676_PEARNE ROAD,0,0
2017_7196645_SILVER LAKE,0,0
2017_7249773_KETTLE CR,0,0
2017_7327400_GLADE #3,0,0
2017_7359158_SURVEY,0,0
2018_9069382_DISHPAN GAP,0,0
2018_9138457_FERN CREEK,0,0
2018_9174493_HIDDEN LAKE,0,0
2018_9174544_SONNY BOY CREEK,0,0
2018_9257924_SHANNON RIDGE,0,0
1999_UT-SES-C902_NINE MILE,0,0
2002_UT-SLD-0001_TEST,0,2
2008_UT-WCF-000414_MINER'S HOLLOW WFU,0,0
2014_673516_SHEEP,0,0
2017_7199217_DAY CANYON,0,0
2017_7222860_NEFFS,0,0
2011_CO-GSP-1310_CASTLE,0,0
2017_7136418_BOOT JACK,0,0
2017_7152893_235,0,0
2017_7287941_SCHOOL SECTION,0,0
2017_7298210_JOHNNY CREEK,0,0
2017_7298319_CASTLE CREEK,0,0
2017_7336279_504,0,0
2018_9053309_HOMESTAKE,0,0
2018_9112582_PEAK,0,0
2018_9166585_DAVIS POINT,0,0
2018_9174677_LANDSEND,0,0
2018_9191418_RIDGE TOP,0,0
2000_WY-CPX-086_FOX CREEK,0,0
2018_9236340_GRANITE 2,0,0
2017_7280325_BELCHER,0,0
2001_MT-S4S-012_JOINT VENTURE,0,0
2018_9184842_SOUTH MEADOW CREEK,0,0
1999_AZ-PHD-Y774_GRIFFITH 2,0,0
